precinct_key,district_num,area_weight
CHRISTIAN - 000018,140,0.559524
CHRISTIAN - 000019,138,1.000000
CHRISTIAN - 000020,139,1.000000
CHRISTIAN - 000021,139,1.000000
CHRISTIAN - 000022,140,1.000000
CHRISTIAN - 000023,139,1.000000
CHRISTIAN - 000024,138,1.000000
CHRISTIAN - 000025,138,1.000000
CHRISTIAN - 000026,139,0.654762
CHRISTIAN - 000026,140,0.345238
CLARK - 000002,4,1.000000
CLARK - 000003,4,1.000000
CLARK - 000004,4,1.000000
CLARK - 000005,4,1.000000
CLARK - 000006,4,1.000000
CLARK - 000007,4,1.000000
CLARK - 000008,4,1.000000
CLARK - 000009,4,1.000000
CLARK - 000010,4,1.000000
CLARK - 000011,4,1.000000
CLARK - 000012,4,1.000000
CLARK - 000013,4,1.000000
CLAY - 000002,16,0.509524
CLAY - 000002,17,0.380952
CLAY - 000002,15,0.109524
CLAY - 000003,16,1.000000
CLAY - 000004,16,1.000000
CLAY - 000005,16,1.000000
CLAY - 000006,17,1.000000
CLAY - 000007,17,1.000000
CLAY - 000008,17,1.000000
CLAY - 000009,17,1.000000
CLAY - 000010,16,0.526190
CLAY - 000010,15,0.473810
CLAY - 000011,16,0.983333
CLAY - 000011,15,0.016667
CLAY - 000012,18,1.000000
CLAY - 000013,17,1.000000
CLAY - 000014,15,0.428571
CLAY - 000014,18,0.571429
CLAY - 000015,18,1.000000
CLAY - 000016,18,1.000000
CLAY - 000017,17,0.935714
CLAY - 000017,18,0.059524
CLAY - 000017,19,0.004762
CLAY - 000018,17,0.992857
CLAY - 000018,18,0.007143
CLAY - 000019,16,0.988095
CLAY - 000019,15,0.011905
CLAY - 000020,18,1.000000
CLAY - 000021,18,1.000000
CLAY - 000022,18,0.459524
CLAY - 000022,15,0.302381
CLAY - 000022,17,0.238095
CLAY - 000023,17,0.073810
CLAY - 000023,18,0.926190
CLAY - 000024,18,1.000000
CLAY - 000025,18,1.000000
CLAY - 000026,18,1.000000
CLAY - 000027,17,0.390476
CLAY - 000027,39,0.285714
CLAY - 000027,38,0.323810
CLAY - 000028,8,0.942857
CLAY - 000028,16,0.057143
CLAY - 000029,17,1.000000
CLAY - 000030,39,0.873810
CLAY - 000030,8,0.121429
CLAY - 000030,53,0.004762
CLAY - 000031,39,1.000000
CLAY - 000032,39,1.000000
CLAY - 000033,39,1.000000
CLAY - 000034,39,1.000000
CLAY - 000035,18,1.000000
CLAY - 000036,15,1.000000
CLAY - 000037,15,1.000000
CLAY - 000038,15,1.000000
CLAY - 000039,15,1.000000
