block_geoid20,blk2020gj,precinct_key,district_num,is_kansas_city,election_county,election_county_aliases
290950086002017,G29009500086002017,JACKSON - 000482,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950114081003,G29009500114081003,JACKSON - 000071,21,0,JACKSON,JACKSON|KANSAS CITY
290950155001094,G29009500155001094,JACKSON - 000196,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950023002009,G29009500023002009,JACKSON - 000208,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950138031025,G29009500138031025,JACKSON - 000558,34,0,JACKSON,JACKSON|KANSAS CITY
290950110021010,G29009500110021010,JACKSON - 160102,21,0,JACKSON,JACKSON|KANSAS CITY
290950156003000,G29009500156003000,JACKSON - 000002,21,0,JACKSON,JACKSON|KANSAS CITY
290950155001098,G29009500155001098,JACKSON - 000196,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950150002047,G29009500150002047,JACKSON - 000142,32,0,JACKSON,JACKSON|KANSAS CITY
290950139171061,G29009500139171061,JACKSON - PR1661,33,0,JACKSON,JACKSON|KANSAS CITY
290950131002011,G29009500131002011,JACKSON - 000387,37,1,KANSAS CITY,KANSAS CITY|JACKSON
290950135022010,G29009500135022010,JACKSON - 000552,33,0,JACKSON,JACKSON|KANSAS CITY
290950172002000,G29009500172002000,JACKSON - 000399,26,1,KANSAS CITY,KANSAS CITY|JACKSON
290950133091029,G29009500133091029,JACKSON - 000660,36,0,JACKSON,JACKSON|KANSAS CITY
290950119004004,G29009500119004004,JACKSON - 000052,22,0,JACKSON,JACKSON|KANSAS CITY
290950124004015,G29009500124004015,JACKSON - 000081,29,0,JACKSON,JACKSON|KANSAS CITY
290950140022045,G29009500140022045,JACKSON - 000644,33,0,JACKSON,JACKSON|KANSAS CITY
290950044001029,G29009500044001029,JACKSON - 000154,24,1,KANSAS CITY,KANSAS CITY|JACKSON
290950102034004,G29009500102034004,JACKSON - 000318,37,1,KANSAS CITY,KANSAS CITY|JACKSON
290950149051024,G29009500149051024,JACKSON - 000570,33,0,JACKSON,JACKSON|KANSAS CITY
290950087001025,G29009500087001025,JACKSON - 000266,27,1,KANSAS CITY,KANSAS CITY|JACKSON
290950185003007,G29009500185003007,JACKSON - 000519,30,0,JACKSON,JACKSON|KANSAS CITY
290959892001004,G29009509892001004,JACKSON - 000620,31,0,JACKSON,JACKSON|KANSAS CITY
290950110021022,G29009500110021022,JACKSON - 160102,21,0,JACKSON,JACKSON|KANSAS CITY
290950111002016,G29009500111002016,JACKSON - 000016,20,0,JACKSON,JACKSON|KANSAS CITY
290950147023022,G29009500147023022,JACKSON - 000066,20,0,JACKSON,JACKSON|KANSAS CITY
290950139041014,G29009500139041014,JACKSON - 000544,30,0,JACKSON,JACKSON|KANSAS CITY
290950114063016,G29009500114063016,JACKSON - 000022,20,0,JACKSON,JACKSON|KANSAS CITY
290950114063032,G29009500114063032,JACKSON - 000022,20,0,JACKSON,JACKSON|KANSAS CITY
290950149051002,G29009500149051002,JACKSON - 000570,33,0,JACKSON,JACKSON|KANSAS CITY
290950137063001,G29009500137063001,JACKSON - 000534,34,0,JACKSON,JACKSON|KANSAS CITY
290950180002022,G29009500180002022,JACKSON - PR1602,34,0,JACKSON,JACKSON|KANSAS CITY
290950137061045,G29009500137061045,JACKSON - 000529,34,0,JACKSON,JACKSON|KANSAS CITY
290950138032025,G29009500138032025,JACKSON - 000543,34,0,JACKSON,JACKSON|KANSAS CITY
290950098002001,G29009500098002001,JACKSON - 000296,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950093001001,G29009500093001001,JACKSON - 000494,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950093002003,G29009500093002003,JACKSON - 000495,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950085003019,G29009500085003019,JACKSON - 000478,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950086003009,G29009500086003009,JACKSON - 000479,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950134104000,G29009500134104000,JACKSON - 000656,36,0,JACKSON,JACKSON|KANSAS CITY
290950141201017,G29009500141201017,JACKSON - 16-100,33,0,JACKSON,JACKSON|KANSAS CITY
290950101052011,G29009500101052011,JACKSON - 000326,37,1,KANSAS CITY,KANSAS CITY|JACKSON
290950124004017,G29009500124004017,JACKSON - 000081,29,0,JACKSON,JACKSON|KANSAS CITY
290950021005008,G29009500021005008,JACKSON - 000202,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950102041001,G29009500102041001,JACKSON - 000322,37,1,KANSAS CITY,KANSAS CITY|JACKSON
290950139181024,G29009500139181024,JACKSON - VB1603,33,0,JACKSON,JACKSON|KANSAS CITY
290950113001014,G29009500113001014,JACKSON - 000019,20,0,JACKSON,JACKSON|KANSAS CITY
290950114063024,G29009500114063024,JACKSON - 000034,20,0,JACKSON,JACKSON|KANSAS CITY
290950003003021,G29009500003003021,JACKSON - 000175,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950159002025,G29009500159002025,JACKSON - 000151,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950065002000,G29009500065002000,JACKSON - K16449,27,0,JACKSON,JACKSON|KANSAS CITY
290950066002005,G29009500066002005,JACKSON - 000434,27,1,KANSAS CITY,KANSAS CITY|JACKSON
290950142062015,G29009500142062015,JACKSON - 000527,30,0,JACKSON,JACKSON|KANSAS CITY
290950139172069,G29009500139172069,JACKSON - 000645,33,0,JACKSON,JACKSON|KANSAS CITY
290950132082006,G29009500132082006,JACKSON - 000387,37,1,KANSAS CITY,KANSAS CITY|JACKSON
290950019002001,G29009500019002001,JACKSON - KC1310,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950151001067,G29009500151001067,JACKSON - 000032,20,0,JACKSON,JACKSON|KANSAS CITY
290950139041020,G29009500139041020,JACKSON - 000544,30,0,JACKSON,JACKSON|KANSAS CITY
290950176001018,G29009500176001018,JACKSON - 000357,35,1,KANSAS CITY,KANSAS CITY|JACKSON
290950119002003,G29009500119002003,JACKSON - 000052,22,0,JACKSON,JACKSON|KANSAS CITY
290950101052000,G29009500101052000,JACKSON - 000327,37,1,KANSAS CITY,KANSAS CITY|JACKSON
290950141232002,G29009500141232002,JACKSON - 000580,31,0,JACKSON,JACKSON|KANSAS CITY
290950145043005,G29009500145043005,JACKSON - 000097,29,0,JACKSON,JACKSON|KANSAS CITY
290950128045000,G29009500128045000,JACKSON - BR1612,28,0,JACKSON,JACKSON|KANSAS CITY
290950135042008,G29009500135042008,JACKSON - 000515,34,0,JACKSON,JACKSON|KANSAS CITY
290950149031063,G29009500149031063,JACKSON - 000612,32,0,JACKSON,JACKSON|KANSAS CITY
290950093003002,G29009500093003002,JACKSON - 000496,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950094003023,G29009500094003023,JACKSON - 000497,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950098003011,G29009500098003011,JACKSON - 000162,26,1,KANSAS CITY,KANSAS CITY|JACKSON
290950095003010,G29009500095003010,JACKSON - 000275,26,1,KANSAS CITY,KANSAS CITY|JACKSON
290950145042007,G29009500145042007,JACKSON - 000097,29,0,JACKSON,JACKSON|KANSAS CITY
290950133091007,G29009500133091007,JACKSON - 000660,36,0,JACKSON,JACKSON|KANSAS CITY
290950133132011,G29009500133132011,JACKSON - 000651,36,0,JACKSON,JACKSON|KANSAS CITY
290950140091013,G29009500140091013,JACKSON - 000632,32,0,JACKSON,JACKSON|KANSAS CITY
290950121004021,G29009500121004021,JACKSON - 000090,22,0,JACKSON,JACKSON|KANSAS CITY
290950185002012,G29009500185002012,JACKSON - 000536,30,0,JACKSON,JACKSON|KANSAS CITY
290950140091002,G29009500140091002,JACKSON - 000632,32,0,JACKSON,JACKSON|KANSAS CITY
